896	273
896	273
896	278
896	487
898	249
898	267
900	83
900	398
900	398
901	94
901	220
901	335
901	335
902	387
903	178
903	425
904	211
906	273
906	339
907	503
907	503
910	229
910	373
910	373
911	181
912	196
912	243
913	11
913	11
913	476
913	476
916	48
916	48
916	126
916	466
917	21
918	464
919	210
920	503
921	156
921	305
922	18
922	23
923	110
923	457
923	457
925	166
925	197
925	247
925	294
926	303
928	119
928	320
931	367
933	220
933	420
937	402
939	92
939	236
940	442
941	185
942	27
942	130
942	437
943	145
945	97
945	155
946	338
946	409
946	409
947	398
948	336
949	176
950	452
951	444
953	4
955	46
955	306
956	411
956	411
958	402
958	402
961	23
961	444
962	482
962	482
963	246
966	173
966	227
966	227
966	318
968	409
969	46
969	46
969	478
969	478
970	68
970	77
970	225
971	134
971	134
971	182
972	243
975	10
977	428
977	428
978	49
978	254
979	410
979	410
980	209
980	262
980	262
981	98
985	324
985	324
986	197
988	423
989	261
989	261
993	273
993	350
993	350
995	349
996	24
996	57
996	83
996	234
996	234
997	328
997	328
998	53
999	69
999	69
999	100
999	191
999	306
999	306
999	432
1001	302
1003	34
1006	313
1006	313
1008	191
1008	191
1010	189
1010	366
1010	366
1011	312
1012	289
1012	289
1013	184
1013	449
1014	64
1014	95
1014	432
1014	432
1015	2
1015	2
1015	81
1015	157
1015	157
1018	159
1018	410
1018	410
1020	30
1020	220
1021	62
1022	356
1023	97
1023	97
896	273
900	398
901	335
907	503
910	373
913	11
913	476
916	48
923	457
946	409
956	411
958	402
966	227
969	46
969	478
971	134
977	428
979	410
980	262
985	324
989	261
993	350
996	234
997	328
999	69
999	306
1006	313
1008	191
1010	366
1012	289
1014	432
1015	2
1015	157
1018	410
1023	97
896	273
900	398
901	335
907	503
910	373
913	11
913	476
916	48
923	457
946	409
956	411
958	402
962	482
966	227
969	46
969	478
971	134
977	428
979	410
980	262
985	324
989	261
993	350
996	234
997	328
999	69
999	306
1006	313
1008	191
1010	366
1012	289
1015	2
1015	157
1018	410
1023	97
896	273
900	398
901	335
907	503
910	373
913	11
913	476
916	48
923	457
946	409
956	411
958	402
962	482
966	227
969	46
969	478
971	134
977	428
979	410
980	262
